pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,releasedate
HIP 8152 c,HIP 8152,1,1,2,Transit,2023,19.60562000,0.00025000,-0.00025000,0,0.139000,0.003000,-0.002000,0,0.200000,0.100000,-0.100000,0,651,11,-11,0,,5618.00,74.00,-73.00,0,0.96,0.02,-0.02,0,01h44m50.22s,26.2092533,-18d24m04.98s,-18.4013844,101.6940000,0.4210000,-0.4170000,10.0700000,0.0300000,-0.0300000,2024-07-23
HIP 8541 b,HIP 8541,1,2,2,Radial Velocity,2016,1852.14387000,215.24662000,-117.31046000,0,3.729000,0.300000,-0.168000,0,0.360000,0.060000,-0.047000,0,,,,,,,,,,,,,,01h50m06.53s,27.5271962,-54d27m54.59s,-54.4651633,155.1210000,0.6380000,-0.6340000,7.8800000,0.0300000,-0.0300000,2023-06-12
HIP 86221 b,HIP 86221,1,1,1,Radial Velocity,2021,2.22400000,0.00040000,-0.00050000,0,0.031000,,,0,0.086000,,,0,,,,,K5 V,,,,,,,,,17h37m10.77s,264.2948750,+27d53m47.01s,27.8963910,29.4898000,2.2196200,-2.2196200,9.2500000,0.0300000,-0.0300000,2022-01-10
HIP 90988 b,HIP 90988,1,1,1,Radial Velocity,2021,455.73816000,2.11413000,-1.88939000,0,1.360000,0.026000,-0.027000,0,0.081000,0.042000,-0.043000,0,,,,,,,,,,,,,,18h33m33.43s,278.3892816,-50d12m42.09s,-50.2116920,94.0349000,0.3884000,-0.3853000,7.7500000,0.0300000,-0.0300000,2023-06-14
HIP 91258 b,HIP 91258,1,1,1,Radial Velocity,2013,5.05050000,0.00150000,-0.00150000,0,0.060000,0.000000,0.000000,0,0.020000,0.010000,-0.010000,0,,,,,,5519.00,70.00,-70.00,0,0.89,0.03,-0.03,0,18h36m53.07s,279.2211173,+61d42m05.42s,61.7015065,45.8846000,0.0661000,-0.0660000,8.6500000,0.0300000,-0.0300000,2018-09-06
HIP 94235 b,HIP 94235,1,2,1,Transit,2022,7.71305700,0.00002100,-0.00002100,0,0.078700,0.000560,-0.000170,0,0.320000,0.200000,-0.200000,0,1060,50,-50,0,G V,5991.00,50.00,-50.00,0,1.08,0.11,-0.10,0,19h10m57.87s,287.7411441,-60d16m21.49s,-60.2726358,58.5146000,0.1263000,-0.1258000,8.3100000,0.0300000,-0.0300000,2022-05-09
HIP 948 b,HIP 948,1,1,1,Radial Velocity,2022,24955.45756000,8914.75178000,-10015.46337000,0,15.037000,3.315000,-4.464000,0,0.230000,0.161000,-0.110000,0,,,,,,,,,,,,,,00h11m42.63s,2.9276336,-39d13m49.76s,-39.2304879,34.8523000,0.0582000,-0.0581000,9.9200000,0.0300000,-0.0300000,2023-06-12
HIP 9618 b,HIP 9618,1,1,2,Transit,2023,20.77285800,0.00004700,-0.00004700,0,0.145000,0.003000,-0.003000,0,0.000000,,,0,641,11,-10,0,,5649.00,75.00,-71.00,0,0.96,0.02,-0.02,0,02h03m37.20s,30.9050061,+21d16m52.78s,21.2813274,67.5478000,0.1566000,-0.1559000,9.2000000,0.0300000,-0.0300000,2024-07-22
HIP 9618 c,HIP 9618,1,1,2,Transit,2023,52.56363000,0.00016000,-0.00016000,0,0.269000,0.005000,-0.005000,0,0.000000,,,0,470,8,-8,0,,5649.00,75.00,-71.00,0,0.96,0.02,-0.02,0,02h03m37.20s,30.9050061,+21d16m52.78s,21.2813274,67.5478000,0.1566000,-0.1559000,9.2000000,0.0300000,-0.0300000,2024-07-22
HIP 97166 b,HIP 97166,1,1,2,Transit,2021,10.28891400,0.00000640,-0.00000640,0,0.091000,0.002000,-0.002000,0,0.290000,0.072000,-0.072000,0,702,9,-9,0,,5216.00,52.00,-52.00,0,0.84,0.01,-0.01,0,19h44m58.71s,296.2446203,+74d03m46.29s,74.0628577,65.9501000,0.1014000,-0.1012000,9.9200000,0.0300000,-0.0300000,2024-07-23
HIP 97166 c,HIP 97166,1,1,2,Radial Velocity,2021,16.43200000,0.04100000,-0.04100000,0,0.124000,0.002000,-0.002000,0,0.000000,,,0,,,,,,5216.00,52.00,-52.00,0,0.84,0.01,-0.01,0,19h44m58.71s,296.2446203,+74d03m46.29s,74.0628577,65.9501000,0.1014000,-0.1012000,9.9200000,0.0300000,-0.0300000,2024-07-22
HIP 97233 b,HIP 97233,1,1,1,Radial Velocity,2014,1062.26506000,8.80710000,-9.63078000,0,2.491000,0.049000,-0.051000,0,0.630000,0.044000,-0.042000,0,,,,,,,,,,,,,,19h45m41.31s,296.4221207,-00d41m48.77s,-0.6968794,102.2750000,0.4070000,-0.4040000,7.3400000,0.0300000,-0.0300000,2023-06-12
HIP 99770 b,HIP 99770,1,1,1,Imaging,2023,18600.00000000,6200.00000000,-2800.00000000,0,16.900000,3.400000,-1.900000,0,0.250000,0.140000,-0.160000,0,,,,,A5-A6,8000.00,,,0,,,,,20h14m32.12s,303.6338344,+36d48m23.78s,36.8066046,40.0765000,0.2847000,-0.2807000,4.9429200,0.0230000,-0.0230000,2023-04-17
HN Lib b,HN Lib,1,1,1,Radial Velocity,2023,36.11600000,0.02700000,-0.02900000,0,0.141700,0.002300,-0.002300,0,0.079000,0.090000,-0.055000,0,234,6,-5,0,M4.0 V,3347.00,50.00,-50.00,0,0.30,0.01,-0.01,0,14h34m16.44s,218.5684823,-12d31m01.22s,-12.5170062,6.2444200,0.0044550,-0.0044550,11.3110000,0.0260000,-0.0260000,2023-08-07
HN Peg b,HN Peg,1,1,1,Imaging,2006,,,,,773.000000,13.000000,-13.000000,0,,,,,,,,,G0 V,,,,,,,,,21h44m31.58s,326.1315705,+14d46m17.23s,14.7714524,18.1186000,0.0201000,-0.0201000,5.9770700,0.0230000,-0.0230000,2014-05-14
HR 2562 b,HR 2562,1,1,1,Imaging,2016,,,,,20.300000,0.300000,-0.300000,0,,,,,1200,100,-100,0,F5 V,,,,,,,,,06h50m01.03s,102.5042716,-60d14m55.24s,-60.2486775,34.0071000,0.0480000,-0.0478000,6.1100000,0.0300000,-0.0300000,2016-09-08
HR 5183 b,HR 5183,1,2,1,Radial Velocity,2019,27000.00000000,16000.00000000,-8000.00000000,0,18.000000,6.000000,-4.000000,0,0.840000,0.040000,-0.040000,0,171,5,-5,0,,5794.00,100.00,-100.00,0,1.53,0.06,-0.05,0,13h46m56.59s,206.7357992,+06d20m59.64s,6.3498994,31.4607000,0.0390000,-0.0389000,6.3343200,0.0230000,-0.0230000,2019-09-26
HR 810 b,HR 810,1,1,1,Radial Velocity,1999,302.79999000,2.30000000,-2.30000000,0,0.920000,0.020000,-0.020000,0,0.140000,0.130000,-0.130000,0,,,,,,6167.00,24.00,-24.00,0,1.13,0.02,-0.02,0,02h42m34.01s,40.6417178,-50d47m57.65s,-50.7993484,17.3181000,0.0162000,-0.0162000,5.4000000,0.0300000,-0.0300000,2018-09-06
HR 858 b,HR 858,1,2,3,Transit,2019,3.58599000,0.00015000,-0.00015000,0,0.048000,0.001000,-0.001100,0,0.300000,,,1,1572,22,-19,0,,6201.00,50.00,-50.00,0,1.31,0.02,-0.02,0,02h51m56.39s,42.9849779,-30d48m50.62s,-30.8140609,31.9640000,0.0722000,-0.0720000,6.3800000,0.0300000,-0.0300000,2019-07-25
HR 858 c,HR 858,1,2,3,Transit,2019,5.97293000,0.00060000,-0.00053000,0,0.067400,0.001400,-0.001600,0,0.190000,,,1,1326,18,-16,0,,6201.00,50.00,-50.00,0,1.31,0.02,-0.02,0,02h51m56.39s,42.9849779,-30d48m50.62s,-30.8140609,31.9640000,0.0722000,-0.0720000,6.3800000,0.0300000,-0.0300000,2019-07-25
HR 858 d,HR 858,1,2,3,Transit,2019,11.23000000,0.00110000,-0.00100000,0,0.102700,0.002200,-0.002500,0,0.280000,,,1,1075,15,-13,0,,6201.00,50.00,-50.00,0,1.31,0.02,-0.02,0,02h51m56.39s,42.9849779,-30d48m50.62s,-30.8140609,31.9640000,0.0722000,-0.0720000,6.3800000,0.0300000,-0.0300000,2019-07-25
HR 8799 b,HR 8799,1,1,4,Imaging,2008,170000.00000000,,,0,68.000000,,,0,,,,,,,,,A5 V,,,,,,,,,23h07m28.84s,346.8701486,+21d08m02.54s,21.1340376,41.2441000,0.1515000,-0.1505000,5.9800000,0.0100000,-0.0100000,2014-05-14
HR 8799 c,HR 8799,1,1,4,Imaging,2008,69000.00000000,,,0,38.000000,,,0,,,,,,,,,A5 V,,,,,,,,,23h07m28.84s,346.8701486,+21d08m02.54s,21.1340376,41.2441000,0.1515000,-0.1505000,5.9800000,0.0100000,-0.0100000,2014-05-14
HR 8799 d,HR 8799,1,1,4,Imaging,2008,37000.00000000,,,0,24.000000,,,0,,,,,,,,,A5 V,,,,,,,,,23h07m28.84s,346.8701486,+21d08m02.54s,21.1340376,41.2441000,0.1515000,-0.1505000,5.9800000,0.0100000,-0.0100000,2014-05-14
HR 8799 e,HR 8799,1,1,4,Imaging,2010,,,,,16.400000,2.100000,-1.100000,0,0.150000,0.080000,-0.080000,0,1150,50,-50,0,A5,7400.00,,,0,,,,,23h07m28.84s,346.8701486,+21d08m02.54s,21.1340376,41.2441000,0.1515000,-0.1505000,5.9800000,0.0100000,-0.0100000,2019-06-27
HS Psc b,HS Psc,1,1,1,Radial Velocity,2024,3.98600000,0.04400000,-0.00300000,0,0.043500,0.001700,-0.001700,0,0.270000,0.210000,-0.270000,0,,,,,K7 V,4203.00,116.00,-116.00,0,0.65,0.07,-0.07,0,01h37m23.37s,24.3473790,+26d57m10.09s,26.9528036,37.6604000,0.0995000,-0.0989000,10.7690000,0.0870000,-0.0870000,2024-03-12
HU Aqr AB b,HU Aqr,1,2,2,Eclipse Timing Variations,2011,2390.00000000,4.00000000,-4.00000000,0,3.600000,0.800000,-0.800000,0,0.000000,,,0,,,,,,,,,,,,,,21h07m58.13s,316.9921976,-05d17m41.53s,-5.2948694,,,,16.1830000,0.3340000,-0.3340000,2019-10-24
HU Aqr AB c,HU Aqr,1,2,2,Eclipse Timing Variations,2011,4368.00000000,515.00000000,-515.00000000,0,5.400000,0.900000,-0.900000,0,0.510000,0.150000,-0.150000,0,,,,,,,,,,,,,,21h07m58.13s,316.9921976,-05d17m41.53s,-5.2948694,,,,16.1830000,0.3340000,-0.3340000,2019-10-24
IC 4651 9122 b,IC 4651 9122,1,1,1,Radial Velocity,2018,734.00000000,8.10000000,-8.10000000,0,2.038000,0.039000,-0.039000,0,0.180000,0.090000,-0.090000,0,,,,,,,,,,,,,,17h24m50.07s,261.2086139,-49d56m56.15s,-49.9489317,859.3240000,31.9890000,-31.9890000,10.9090000,0.0160000,-0.0160000,2018-07-19
ITG 15 b,ITG 15 A,1,2,1,Imaging,2024,,,,,435.000000,4.000000,-4.000000,0,,,,,2601,21,-56,0,,,,,,,,,,04h39m44.89s,69.9370379,+26d01m52.37s,26.0312128,136.3700000,2.1130000,-2.0520000,,,,2024-05-08
K2-10 b,K2-10,1,1,1,Transit,2015,19.30440000,0.00120000,-0.00120000,0,,,,,0.310000,0.160000,-0.180000,0,,,,,,5620.00,70.00,-70.00,0,0.98,0.08,-0.08,0,11h28m29.20s,172.1216476,+01d41m26.24s,1.6906217,272.3600000,3.1120000,-3.0440000,12.4290000,0.0690000,-0.0690000,2016-02-11
K2-100 b,K2-100,1,1,1,Transit,2016,1.67390350,0.00000040,-0.00000040,0,0.030100,0.001400,-0.001400,0,0.000000,,,0,1841,41,-41,0,G0 V,5945.00,110.00,-110.00,0,1.24,0.05,-0.05,0,08h38m24.26s,129.6010863,+20d06m21.63s,20.1060074,188.9590000,2.4710000,-2.4100000,10.6510000,0.0120000,-0.0120000,2021-07-12
K2-101 b,K2-101,1,1,1,Transit,2016,14.67624290,0.00002010,-0.00002030,0,0.112400,0.009500,-0.023900,0,,,,,618,9,-25,0,,4927.00,47.00,-46.00,0,0.76,0.01,-0.01,0,08h41m22.54s,130.3439097,+18d56m01.75s,18.9338205,188.3300000,2.1280000,-2.0820000,12.8920000,0.1140000,-0.1140000,2021-09-20
K2-102 b,K2-102,1,1,1,Transit,2016,9.91561500,0.00120900,-0.00119500,0,,,,,0.100000,0.160000,-0.070000,0,,,,,,4695.00,50.00,-50.00,0,0.71,0.03,-0.03,0,08h40m13.41s,130.0558953,+19d46m43.51s,19.7787519,188.1750000,2.0650000,-2.0220000,13.0830000,0.1030000,-0.1030000,2016-12-21
K2-104 b,K2-104,1,1,1,Transit,2016,1.97419540,0.00000240,-0.00000240,0,0.024200,0.002200,-0.005500,0,,,,,798,9,-39,0,,3712.00,54.00,-76.00,0,0.48,0.01,-0.01,0,08h38m32.80s,129.6366594,+19d46m25.39s,19.7737202,189.2890000,3.9960000,-3.8370000,15.9890000,0.2060000,-0.2060000,2021-09-20
K2-105 b,K2-105,1,1,1,Transit,2017,8.26699280,0.00000700,-0.00000670,0,0.083300,0.003900,-0.011600,0,,,,,928,1,-23,0,,5636.00,49.00,-52.00,0,0.97,0.01,-0.01,0,08h21m40.87s,125.4202985,+13d29m51.04s,13.4975122,197.9890000,1.5550000,-1.5300000,11.7520000,0.0320000,-0.0320000,2021-09-20
K2-107 b,K2-107,1,1,1,Transit,2017,3.31395900,0.00002400,-0.00002400,0,0.047500,0.000600,-0.000600,0,,,,,1649,39,-39,0,,6061.00,96.00,-96.00,0,1.81,0.06,-0.06,0,18h59m56.49s,284.9853550,-22d17m36.31s,-22.2934206,685.2000000,20.5020000,-19.3640000,13.0120000,0.1030000,-0.1030000,2018-10-26
K2-108 b,K2-108,1,1,1,Transit,2017,4.73399900,0.00022100,-0.00022700,0,0.058100,0.000900,-0.000900,0,,,,,1360,29,-29,0,,5599.00,87.00,-87.00,0,1.76,0.04,-0.04,0,08h13m31.64s,123.3818484,+16d25m10.26s,16.4195160,477.2950000,10.0940000,-9.6920000,12.3390000,0.0920000,-0.0920000,2018-10-26
K2-11 b,K2-11,1,1,1,Transit,2015,39.93767000,0.23229000,-0.23229000,0,0.225700,0.014300,-0.014300,0,,,,,734,253,-253,0,,5433.00,49.00,-144.00,0,5.15,0.20,-4.39,0,11h16m10.04s,169.0418328,+01d59m12.06s,1.9866832,329.3090000,2.6820000,-2.6410000,13.4090000,0.1030000,-0.1030000,2015-07-16
K2-110 b,K2-110,1,1,1,Transit,2017,13.86375000,0.00026000,-0.00026000,0,0.102070,0.000830,-0.000830,0,0.130000,,,1,638,11,-11,0,,5010.00,50.00,-50.00,0,0.71,0.02,-0.02,0,13h49m23.94s,207.3497402,-12d17m05.71s,-12.2849182,116.4740000,0.4310000,-0.4270000,11.9850000,0.0460000,-0.0460000,2023-04-17
K2-111 b,K2-111,1,1,2,Transit,2017,5.35180000,0.00040000,-0.00040000,0,0.056500,0.000450,-0.000450,0,0.100000,,,1,1309,19,-19,0,,5775.00,70.00,-70.00,0,1.25,0.02,-0.02,0,03h59m33.67s,59.8903081,+21d17m54.69s,21.2985263,200.3940000,2.7630000,-2.6900000,11.1300000,0.0340000,-0.0340000,2023-04-17
K2-111 c,K2-111,1,1,2,Radial Velocity,2020,15.68050000,0.00640000,-0.00640000,0,0.115690,0.000940,-0.000940,0,0.071000,,,1,,,,,,5775.00,70.00,-70.00,0,1.25,0.02,-0.02,0,03h59m33.67s,59.8903081,+21d17m54.69s,21.2985263,200.3940000,2.7630000,-2.6900000,11.1300000,0.0340000,-0.0340000,2023-04-17
K2-113 b,K2-113,1,1,1,Transit,2017,5.81768500,0.00004100,-0.00004100,0,0.064200,0.000900,-0.000900,0,,,,,1098,23,-23,0,,5660.00,87.00,-87.00,0,1.24,0.03,-0.03,0,01h17m47.85s,19.4493823,+06d52m07.85s,6.8688469,635.7220000,13.4300000,-13.4300000,13.7440000,0.0920000,-0.0920000,2018-10-26
K2-114 b,K2-114,1,1,1,Transit,2017,11.39093110,0.00000340,-0.00000340,0,0.094300,0.001400,-0.001200,0,0.081000,0.031000,-0.030000,0,701,14,-14,0,,4920.00,68.00,-69.00,0,0.82,0.02,-0.02,0,08h31m31.90s,127.8829120,+11d55m20.12s,11.9222550,475.7580000,8.2520000,-7.9800000,14.5500000,0.2170000,-0.2170000,2022-02-15
K2-115 b,K2-115,1,1,1,Transit,2017,20.27261500,0.00035600,-0.00034300,0,0.143000,0.001200,-0.001200,0,,,,,619,8,-8,0,,5657.00,60.00,-60.00,0,0.88,0.01,-0.01,0,08h26m12.84s,126.5535002,+12d16m54.66s,12.2818510,413.5910000,4.3120000,-4.2250000,13.4440000,0.1140000,-0.1140000,2018-10-26
